# total_gammas_per_yr = 2.986222e+04
# isotope = Bi214
# region = endcap
u,dNdu_pdf
0.005,0.7648141042203198
0.015,0.7740154258857033
0.025,0.783221819518362
0.034999999999999996,0.792472098287992
0.045,0.8018282211397882
0.055,0.8113162920836205
0.065,0.8209074775043609
0.07500000000000001,0.830535292151047
0.085,0.840119533514119
0.095,0.8495833108259792
0.10500000000000001,0.8588616942647169
0.115,0.8679044841821068
0.125,0.8766757428186911
0.135,0.8851518921817342
0.14500000000000002,0.8933193985717222
0.155,0.9011725454387937
0.165,0.9087115002223122
0.17500000000000002,0.9159407282680504
0.185,0.9228677362728808
0.195,0.9295021003184021
0.20500000000000002,0.9358547274147814
0.215,0.94193730280652
0.225,0.9477618821130198
0.23500000000000001,0.9533405948346572
0.245,0.9586854326146584
0.255,0.9638081014770911
0.265,0.9687199220062845
0.275,0.9734317651957631
0.28500000000000003,0.9779540146299769
0.295,0.9822965479273635
0.305,0.986468732109114
0.315,0.9904794288818058
0.325,0.9943370068283633
0.335,0.998049358264947
0.34500000000000003,1.0016239190991267
0.35500000000000004,1.0050676904614433
0.365,1.0083872612121072
0.375,1.0115888306730172
0.385,1.014678231122074
0.395,1.0176609497268854
0.405,1.0205421496996485
0.41500000000000004,1.0233266905328882
0.425,1.0260191472332958
0.435,1.028623828513118
0.445,1.0311447939291203
0.455,1.0335858699809883
0.465,1.0359506651962493
0.47500000000000003,1.0382425842391
0.485,1.040464841087128
0.495,1.0426204713237894
0.505,1.0447123435963857
0.515,1.0467431702896794
0.525,1.0487155174646776
0.535,1.0506318141107462
0.545,1.052494360757379
0.555,1.0543053374897882
0.5650000000000001,1.0560668114101375
0.5750000000000001,1.0577807435838151
0.585,1.0594489955077027
0.595,1.0610733351349795
0.605,1.062655442488676
0.615,1.0641969148939256
0.625,1.0656992718567437
0.635,1.0671639596151277
0.645,1.0685923553863768
0.655,1.0699857713327467
0.665,1.0713454582658988
0.675,1.0726726091090466
0.685,1.0739683621342844
0.6950000000000001,1.0752338039912366
0.7050000000000001,1.076469972541948
0.715,1.0776778595157916
0.725,1.0788584129971317
0.735,1.0800125397574942
0.745,1.081141107443124
0.755,1.082244946627975
0.765,1.0833248527414197
0.775,1.0843815878792746
0.785,1.0854158825060938
0.795,1.08642843705608
0.805,1.0874199234394346
0.8150000000000001,1.0883909864604524
0.8250000000000001,1.0893422451532089
0.8350000000000001,1.0902742940402619
0.845,1.0911877043193952
0.855,1.0920830249830682
0.865,1.0929607838749056
0.875,1.0938214886872455
0.885,1.0946656279034872
0.895,1.0954936716887125
0.905,1.0963060727318121
0.915,1.0971032670421246
0.925,1.09788567470339
0.935,1.0986537005876238
0.9450000000000001,1.0994077350313467
0.9550000000000001,1.100148154476429
0.965,1.1008753220776721
0.975,1.1015895882790978
0.985,1.102291291360782
0.995,1.1029807579579662
