# total_gammas_per_yr = 3.382267e+04
# isotope = Bi214
# region = barrel
u,dNdu_pdf
0.005,0.0074734106597088715
0.015,0.022455178414497453
0.025,0.03958444445938247
0.034999999999999996,0.06545103930610502
0.045,0.10252370714420618
0.055,0.1481874471642344
0.065,0.1987393249844123
0.07500000000000001,0.25117902142610316
0.085,0.3034771005761337
0.095,0.3543867288489565
0.10500000000000001,0.40320316597948297
0.115,0.44957329517004074
0.125,0.4933636423845115
0.135,0.5345737495876804
0.14500000000000002,0.5732807664146015
0.155,0.6096045319204902
0.165,0.643685828834944
0.17500000000000002,0.6756730284545628
0.185,0.705714056776271
0.195,0.7339517246848845
0.20500000000000002,0.7605211758847916
0.215,0.7855486582530425
0.225,0.809151111701261
0.23500000000000001,0.831436248880633
0.245,0.8525029223290129
0.255,0.8724416469795003
0.265,0.8913351954777575
0.275,0.9092592150798114
0.28500000000000003,0.9262828351242122
0.295,0.942469247097211
0.305,0.9578762476517724
0.315,0.9725567402294707
0.325,0.9865591942292251
0.335,0.9999280626621465
0.34500000000000003,1.0127041603830393
0.35500000000000004,1.0249250055961465
0.365,1.0366251275932001
0.375,1.047836343725956
0.385,1.0585880085286739
0.395,1.0689072377444653
0.405,1.0788191098092124
0.41500000000000004,1.0883468471311097
0.425,1.0975119792871535
0.435,1.1063344900488665
0.445,1.114832949953103
0.455,1.1230246359523888
0.465,1.1309256395138478
0.47500000000000003,1.138550964386249
0.485,1.145914615120423
0.495,1.1530296773082673
0.505,1.159908390398623
0.515,1.166562213853273
0.525,1.173001887322001
0.535,1.1792374854409478
0.545,1.1852784677923274
0.555,1.1911337245050047
0.5650000000000001,1.1968116179235908
0.5750000000000001,1.202320020727805
0.585,1.2076663508431935
0.595,1.2128576034482839
0.605,1.2179003803512884
0.615,1.2228009169811482
0.625,1.2275651072125189
0.635,1.2321985262219406
0.645,1.2367064515525301
0.655,1.2410938825468054
0.665,1.2453655582914667
0.675,1.2495259742038596
0.685,1.2535793973772582
0.6950000000000001,1.2575298807908633
0.7050000000000001,1.2613812764803232
0.715,1.2651372477555791
0.725,1.2688012805447366
0.735,1.272376693935402
0.745,1.2758666499783926
0.755,1.2792741628128654
0.765,1.2826021071666065
0.775,1.2858532262804663
0.785,1.2890301393016221
0.795,1.2921353481864588
0.805,1.295171244150351
0.8150000000000001,1.2981401136984423
0.8250000000000001,1.3010441442686531
0.8350000000000001,1.3038854295155093
0.845,1.3066659742610458
0.855,1.3093876991368565
0.865,1.3120524449394242
0.875,1.3146619767190695
0.885,1.317217987621242
0.895,1.3197221024973909
0.905,1.322175881301309
0.915,1.3245808222855986
0.925,1.3269383650117974
0.935,1.329249893186654
0.9450000000000001,1.3315167373361085
0.9550000000000001,1.3337401773276703
0.965,1.335921444751079
0.975,1.3380617251664253
0.985,1.340162160228222
0.995,1.3422238496933123
