element,R_cm,H_total_cm,H_cyl_cm,t_wall_mm,t_top_mm,t_bot_mm,top_ar,bot_ar,mass_shell_kg,mass_heads_kg,mass_total_kg
OCV,91.5,304.0,212.5,7.0,9.0,15.0,2,2,385.7,392.9,778.6
ICV,83.0,259.0,189.83333333333334,9.0,8.0,12.0,2,3,401.9,249.2,651.1
