# total_gammas_per_yr = 1.046081e+06
# isotope = Tl208
# region = barrel
u,dNdu_pdf
0.005,0.015831668219000016
0.015,0.047519871031546236
0.025,0.0805755010268621
0.034999999999999996,0.11884625894100541
0.045,0.16341706642158177
0.055,0.21238463193436807
0.065,0.263311242147855
0.07500000000000001,0.31427316225922786
0.085,0.3639994762822674
0.095,0.4117398092860451
0.10500000000000001,0.45710324033573524
0.115,0.49993075789982583
0.125,0.5402064433403833
0.135,0.5779989407405647
0.14500000000000002,0.613423981423748
0.155,0.6466208455872804
0.165,0.6777378397597354
0.17500000000000002,0.7069235375314253
0.185,0.7343216768318817
0.195,0.7600683612331488
0.20500000000000002,0.7842907000814388
0.215,0.8071063348249453
0.225,0.8286234990117499
0.23500000000000001,0.8489413876440922
0.245,0.8681506938728433
0.255,0.8863342239347665
0.265,0.9035675352942505
0.275,0.9199195648583585
0.28500000000000003,0.9354532281836356
0.295,0.9502259795472545
0.305,0.9642903283990005
0.315,0.9776943112033386
0.325,0.9904819197779687
0.335,1.002693488431042
0.34500000000000003,1.0143660428173755
0.35500000000000004,1.025533613687123
0.365,1.036227518727545
0.375,1.0464766155908654
0.385,1.056307529017663
0.395,1.0657448547439108
0.405,1.0748113426446235
0.41500000000000004,1.0835280613329368
0.425,1.0919145462091544
0.435,1.0999889327446253
0.445,1.1077680765926525
0.455,1.1152676619436093
0.465,1.1225022993838023
0.47500000000000003,1.1294856143765188
0.485,1.136230327357921
0.495,1.1427483263287224
0.505,1.1490507327235508
0.515,1.1551479612522546
0.525,1.1610497743299193
0.535,1.1667653316438906
0.545,1.1723032353456238
0.555,1.177671571301728
0.5650000000000001,1.1828779467913741
0.5750000000000001,1.1879295249954651
0.585,1.1928330565860752
0.595,1.197594908691943
0.605,1.2022210914868767
0.615,1.2067172826222432
0.625,1.2110888497019325
0.635,1.2153408709779487
0.645,1.2194781544267996
0.655,1.223505255350813
0.665,1.227426492634265
0.675,1.2312459637714572
0.685,1.2349675587725228
0.6950000000000001,1.2385949730425805
0.7050000000000001,1.2421317193207606
0.715,1.245581138757495
0.725,1.2489464112011401
0.735,1.2522305647584697
0.745,1.255436484687664
0.755,1.2585669216771347
0.765,1.2616244995587422
0.775,1.2646117224996691
0.785,1.2675309817133218
0.795,1.2703845617261333
0.805,1.2731746462339648
0.8150000000000001,1.2759033235789294
0.8250000000000001,1.2785725918748736
0.8350000000000001,1.2811843638073805
0.845,1.2837404711320257
0.855,1.2862426688926702
0.865,1.2886926393798068
0.875,1.2910919958473686
0.885,1.293442286004931
0.895,1.2957449953009266
0.905,1.2980015500112367
0.915,1.3002133201464416
0.925,1.3023816221899733
0.935,1.304507721678489
0.9450000000000001,1.3065928356349272
0.9550000000000001,1.3086381348639353
0.965,1.3106447461186175
0.975,1.3126137541469278
0.985,1.3145462036253994
0.995,1.3164431009873498
