# total_gammas_per_yr = 1.907042e+06
# isotope = Tl208
# region = endcap
u,dNdu_pdf
0.005,0.7629358250873729
0.015,0.7723759517091886
0.025,0.7818224089353571
0.034999999999999996,0.7913199185525844
0.045,0.8009341556796759
0.055,0.8106865220114988
0.065,0.8205384350222896
0.07500000000000001,0.8304136217414481
0.085,0.8402246895421928
0.095,0.8498906495351403
0.10500000000000001,0.8593450471469684
0.115,0.868537961967576
0.125,0.8774348521041673
0.135,0.886014138459344
0.14500000000000002,0.8942645414517703
0.155,0.9021826347229633
0.165,0.9097707833725811
0.17500000000000002,0.9170354893219075
0.185,0.9239861042886016
0.195,0.930633850494992
0.20500000000000002,0.9369910882441927
0.215,0.9430707763866957
0.225,0.9488860808922167
0.23500000000000001,0.9544500957415822
0.245,0.9597756481971255
0.255,0.9648751669569074
0.265,0.9697605968219902
0.275,0.9744433474955134
0.28500000000000003,0.9789342671981315
0.295,0.9832436341202623
0.305,0.9873811605013016
0.315,0.9913560054616121
0.325,0.9951767937184917
0.335,0.9988516380726651
0.34500000000000003,1.0023881641183794
0.35500000000000004,1.0057935360544796
0.365,1.0090744827910303
0.375,1.0122373237826694
0.385,1.0152879941959174
0.395,1.0182320691481055
0.405,1.0210747868518038
0.41500000000000004,1.0238210705690969
0.425,1.02647554933121
0.435,1.0290425774156704
0.445,1.031526252599037
0.455,1.0339304332210053
0.465,1.036258754107471
0.47500000000000003,1.0385146414074786
0.485,1.0407013264030662
0.495,1.042821858352766
0.505,1.0448791164295468
0.515,1.046875820812848
0.525,1.0488145429923963
0.535,1.0506977153390045
0.545,1.0525276399947372
0.555,1.0543064971318419
0.5650000000000001,1.0560363526267853
0.5750000000000001,1.0577191651927043
0.585,1.0593567930106118
0.595,1.0609509998968363
0.605,1.0625034610414508
0.615,1.0640157683498659
0.625,1.065489435417334
0.635,1.066925902163843
0.645,1.0683265391547594
0.655,1.0696926516306167
0.665,1.0710254832676225
0.675,1.0723262196887686
0.685,1.0735959917438767
0.6950000000000001,1.074835878575477
0.7050000000000001,1.0760469104860901
0.715,1.0772300716212728
0.725,1.078386302481663
0.735,1.079516502276235
0.745,1.080621531128028
0.755,1.0817022121427398
0.765,1.0827593333497825
0.775,1.0837936495246638
0.785,1.0848058839008756
0.795,1.085796729778863
0.805,1.086766852039069
0.8150000000000001,1.0877168885655253
0.8250000000000001,1.0886474515859892
0.8350000000000001,1.0895591289341668
0.845,1.0904524852391708
0.855,1.0913280630469724
0.865,1.092186383878273
0.875,1.093027949226891
0.885,1.0938532415024755
0.895,1.0946627249210814
0.905,1.0954568463468932
0.915,1.0962360360881547
0.925,1.0970007086501432
0.935,1.0977512634478424
0.9450000000000001,1.0984880854807704
0.9550000000000001,1.0992115459722642
0.965,1.0999220029753605
0.975,1.100619801947265
0.985,1.1013052762942828
0.995,1.1019787478889373
